country,first,last
Angola,2003,2019
Albania,1999,2019
Armenia,1995,2020
Burundi,1998,2020
Benin,2005,2017
Burkina Faso,2005,2017
Bangladesh,1987,2020
Bulgaria,1992,2020
Bahrain,2001,2015
"Bahamas, The",1990,2020
Bosnia and Herzegovina,2006,2020
Belarus,1993,2020
Bolivia,1987,2020
Brazil,1997,2020
Brunei Darussalam,1998,2020
Bhutan,1991,2020
Botswana,1980,2020
Canada,1998,2017
Switzerland,2008,2020
Chile,1985,2018
Cote d'Ivoire,2009,2017
"Congo, Dem. Rep.",2006,2016
Colombia,1986,2020
Comoros,2001,2013
Cabo Verde,2008,2020
Costa Rica,1982,2020
Czech Republic,1993,2020
Dominican Republic,1991,2017
Algeria,1995,2020
"Egypt, Arab Rep.",1976,2020
United Kingdom,1971,2014
Georgia,2011,2020
"Gambia, The",2005,2020
Guinea-Bissau,2005,2017
Guatemala,1997,2020
Honduras,1982,2020
Croatia,1996,2014
Haiti,1994,2019
Hungary,1992,2020
Indonesia,1986,2020
India,1978,2020
"Iran, Islamic Rep.",2004,2016
Iraq,2008,2016
Iceland,1996,2020
Israel,2013,2020
Italy,1989,2020
Jamaica,2008,2020
Jordan,1997,2020
Japan,1993,2017
Kenya,1971,2020
Kyrgyz Republic,1996,2020
"Korea, Rep.",1996,2020
Kuwait,2011,2019
Lao PDR,2001,2010
Lebanon,2009,2019
Sri Lanka,2001,2019
Lesotho,1980,2019
Moldova,1996,2020
Madagascar,1989,2020
Maldives,2015,2020
Mexico,1993,2020
North Macedonia,2005,2020
Mali,2005,2017
Malta,2001,2013
Myanmar,2017,2019
Montenegro,2007,2020
Mongolia,2011,2020
Mozambique,2005,2019
Mauritania,1986,2017
Mauritius,2007,2020
Malaysia,1969,2020
Namibia,2003,2020
Niger,2005,2017
Nigeria,1982,2019
Nicaragua,2000,2020
Netherlands,1999,2013
Norway,2013,2020
New Zealand,1998,2018
Oman,2001,2019
Pakistan,2004,2020
Panama,1996,2019
Peru,1985,2020
Philippines,1976,2019
Paraguay,1994,2017
West Bank and Gaza,2004,2020
Romania,1993,2020
Russian Federation,1997,2020
Rwanda,1996,2020
Senegal,2005,2017
Sierra Leone,2007,2020
San Marino,2016,2017
Serbia,1997,2015
South Sudan,2012,2015
Sweden,1992,2006
Eswatini,1981,2019
Seychelles,2013,2017
Togo,2005,2017
Timor-Leste,2011,2019
Tonga,2017,2017
Tanzania,1992,2020
Uganda,1994,2018
Ukraine,1993,2020
United States,1971,2020
Vietnam,1996,2020
Vanuatu,2003,2018
Kosovo,2009,2018
South Africa,1961,2020
Zimbabwe,2012,2018
